"concept_id","found_from","concept_name","domain_id","vocabulary_id","standard_concept"
36530993,"From initial search","Oat cell carcinoma of trachea","Condition","ICDO3","S"
44501123,"From initial search","Neoplasm, uncertain whether benign or malignant of lower lobe, lung","Condition","ICDO3","S"
36553076,"From initial search","Myeloid or lymphoid neoplasm with FGFR1 abnormalities of overlapping lesion of lung","Condition","ICDO3","S"
36563007,"From initial search","Myeloproliferative neoplasm, unclassifiable of overlapping lesion of lung","Condition","ICDO3","S"
4055271,"From initial search","Neoplasm of main bronchus","Condition","SNOMED","S"
4128888,"From initial search","Neoplasm of lung","Condition","SNOMED","S"
4054526,"From initial search","Neoplasm of right lower lobe of lung","Condition","SNOMED","S"
4094567,"From initial search","Benign neoplasm of lower lobe bronchus and lung","Condition","SNOMED","S"
4112739,"From initial search","Oat cell carcinoma of lung","Condition","SNOMED","S"
4241021,"From initial search","Benign neoplasm of bronchus of right middle lobe","Condition","SNOMED","S"
4243424,"From initial search","Benign neoplasm of left upper lobe of lung","Condition","SNOMED","S"
4240155,"From initial search","Benign neoplasm of right lower lobe of lung","Condition","SNOMED","S"
4246805,"From initial search","Primary malignant neoplasm of bronchus of right upper lobe","Condition","SNOMED","S"
4311501,"From initial search","Primary malignant neoplasm of right middle lobe of lung","Condition","SNOMED","S"
4314632,"From initial search","Neoplasm of uncertain behavior of bronchus of left upper lobe","Condition","SNOMED","S"
4313368,"From initial search","Neoplasm of uncertain behavior of bronchus of right lower lobe","Condition","SNOMED","S"
3175694,"From initial search","Status of treatment effect from neoadjuvant therapy on excised malignant lung neoplasm","Observation","Nebraska Lexicon","S"
3172257,"From initial search","Status of BRAF sequence variant detection in excised malignant neoplasm of lung","Observation","Nebraska Lexicon","S"
37158124,"From initial search","Presence of DNA mismatch repair protein Mlh1 in primary malignant neoplasm of lung by immunohistochemistry","Observation","SNOMED","S"
37161544,"From initial search","Malignant neoplasm of middle lobe of right lung","Condition","SNOMED","S"
4294587,"From initial search","Main bronchus (less than 2 cm distal to the carina) involved by direct extension of malignant neoplasm","Condition","SNOMED","S"
44502374,"From initial search","Oat cell carcinoma of upper lobe, lung","Condition","ICDO3","S"
605247,"From initial search","Benign clear-cell neoplasm of lung","Condition","SNOMED","S"
37310478,"From initial search","Benign neoplasm of left lung","Condition","SNOMED","S"
4095449,"From initial search","Malignant neoplasm of mucosa of trachea","Condition","SNOMED","S"
4095450,"From initial search","Malignant neoplasm of upper lobe bronchus","Condition","SNOMED","S"
37110034,"From initial search","Malignant neoplasm of right upper lobe of lung","Condition","SNOMED","S"
3655347,"From initial search","Fetal interstitial neoplasm of lung","Condition","SNOMED","S"
4246148,"From initial search","Primary malignant neoplasm of right lower lobe of lung","Condition","SNOMED","S"
4313506,"From initial search","Neoplasm of uncertain behavior of hilus of lung","Condition","SNOMED","S"
4317688,"From initial search","Neoplasm of uncertain behavior of right middle lobe of lung","Condition","SNOMED","S"
4316501,"From initial search","Neoplasm of uncertain behavior of left upper lobe of lung","Condition","SNOMED","S"
3172048,"From initial search","EGFR sequence variant identified in excised malignant neoplasm of lung","Observation","Nebraska Lexicon","S"
3190687,"From initial search","Status of RET gene rearrangement identification in excised malignant neoplasm of lung by molecular methods","Observation","Nebraska Lexicon","S"
3186101,"From initial search","ERBB2 sequence variant identified in excised malignant neoplasm of lung","Observation","Nebraska Lexicon","S"
3178614,"From initial search","Status of MET nucleotide sequence variant detection in excised malignant neoplasm of lung","Observation","Nebraska Lexicon","S"
3188480,"From initial search","MET nucleotide sequence variant detected in excised malignant neoplasm of lung","Observation","Nebraska Lexicon","S"
3168890,"From initial search","Status of ROS1 gene polysomy identification in excised malignant neoplasm of lung by molecular methodsros1","Observation","Nebraska Lexicon","S"
602263,"From initial search","Presence of direct invasion by primary malignant neoplasm of lung to lymphatic vessel and/or small blood vessel","Observation","SNOMED","S"
37154023,"From initial search","Presence of regression of primary malignant neoplasm of lung after neoadjuvant antineoplastic therapy","Observation","SNOMED","S"
37154445,"From initial search","Presence of direct invasion by primary malignant neoplasm of lung to venous structure","Observation","SNOMED","S"
37158123,"From initial search","Presence of mismatch repair endonuclease PMS2 in primary malignant neoplasm of lung by immunohistochemistry","Observation","SNOMED","S"
37166237,"From initial search","Primary oat cell carcinoma of lung","Condition","SNOMED","S"
44504989,"From initial search","Neoplasm, benign of upper lobe, lung","Condition","ICDO3","S"
44504990,"From initial search","Neoplasm, malignant of upper lobe, lung","Condition","ICDO3","S"
42513175,"From initial search","Neoplasm defined only by histology: Adenocarcinoma of lung, mixed mucinous and non-mucinous","Condition","ICDO3","S"
36547527,"From initial search","Myeloid or lymphoid neoplasm with PDGFRA rearrangement of upper lobe, lung","Condition","ICDO3","S"
36530476,"From initial search","Myeloid or lymphoid neoplasm with PDGFRA rearrangement of lower lobe, lung","Condition","ICDO3","S"
257503,"From initial search","Primary malignant neoplasm of main bronchus","Condition","SNOMED","S"
37310476,"From initial search","Benign neoplasm of right lung","Condition","SNOMED","S"
35610239,"From initial search","Malignant neoplasm of bronchus or lung","Condition","SNOMED","S"
4054524,"From initial search","Neoplasm of hilus of lung","Condition","SNOMED","S"
4094874,"From initial search","Malignant neoplasm of cartilage of trachea","Condition","SNOMED","S"
36716500,"From initial search","Primary malignant neuroendocrine neoplasm of lung","Condition","SNOMED","S"
4242825,"From initial search","Benign neoplasm of right upper lobe of lung","Condition","SNOMED","S"
439763,"From initial search","Benign neoplasm of trachea","Condition","SNOMED","S"
4246027,"From initial search","Primary malignant neoplasm of bronchus of left upper lobe","Condition","SNOMED","S"
4246804,"From initial search","Primary malignant neoplasm of bronchus of right middle lobe","Condition","SNOMED","S"
4246126,"From initial search","Primary malignant neoplasm of left upper lobe of lung","Condition","SNOMED","S"
